KBK;OKVJeD; OKDP;Uslovija kontrakta: № zakaza (№lota);Uslovija kontrakta: Naimenovanie predmeta kontrakta;Uslovija kontrakta:Minimal'no neobhodimye trebovanija, pred#javljaemye k predmetu kontrakta ;Uslovija kontrakta: Edinica izmerenija;Uslovija kontrakta: Kolichestvo (ob#em);Uslovija kontrakta: Nachal'naja (maksimal'naja) cena kontrakta (v tys. rublej);Uslovija kontrakta: Razmer obespechenija zajavki (v tys. rublej) / razmer obespechenija ispolnenija kontrakta (v tys. rublej);Grafik osushhestvlenija procedur zakupki: srok razmeshhenija zakaza (mes., god);Grafik osushhestvlenija procedur zakupki: srok ispolnenija kontrakta (mes., god);Sposob razmeshhenija zakaza;Obosnovanie vnesenija izmenenij
103040824Б2064244226;37217;9414020;56;okazanie uslug po podgotovke i razmeshheniju informacionno-analiticheskih materialov po informirovaniju naselenija Rossijskoj Federacii, organov gosudarstvennoj vlasti, transportnyh organizacij o hode i rezul'tatah vypolnenija Federal'noj celevoj programmy «Razvitie transportnoj sistemy Rossii (2010 – 2015 gody)» v special'nom prilozhenii k periodicheskomu pechatnomu sredstvu massovoj informacii;Uslugi po podgotovke materialov, dopechatnoj podgotovki, tipografii, jekspedirovanii;Kompleks uslug;1;5000;250 / 1500;05.2015г;12.2015г;Otkrytyj konkurs;-
103 04 11 2480019 241 226;73.20;73.20.15.990;59;"Vypolnenie nauchno-issledovatel'skoj raboty po teme:  ""Monitoring i nauchno-metodicheskoe soprovozhdenie gosudarstvennoj programmy Rossijskoj Federacii ""Razvitie transportnoj sistemy""";"Razrabotka nauchno obosnovannyh predlozhenij po upravleniju realizaciej gosudarstvennoj programmy Rossijskoj Federacii ""Razvitie transportnoj sistemy"" (dalee Programma) i nauchno-metodicheskaja podderzhka processov upravlenija Programmoj, vkljuchaja processy monitoringa, godovogo i srednesrochnogo planirovanija, podgotovki otchetnosti.                                                               Nauchnaja podderzhka monitoringa realizacii Programmy s ispol'zovaniem analiticheskoj informacionnoj sistemy ""Gosudarstvennye programmy""                                                                                                             analiz hoda realizacii Programmy,                                                                    razrabotka nauchnyh predlozhenij i obosnovyvajushhih materialov po korrektirovke osnovnyh polozhenij Programmy,dopolnitel'nyh i obosnovyvajushhih materialov k Programme                                                   nauchnoe soprovozhdenie podgotovki dokladov Ministerstva v Pravitel'stve Rossijskoj Federacii o hode realizacii Programmy v sootvetstvii s trebovanijami dejstvujushhih normativnyh pravovyh dokumentov,reshenijami Prezidenta Rossijskoj Federacii i Pravitel'stva Rossijskoj Federacii.                                                               Vnesenie v ustanovlennom porjadke informacii v analiticheskuju informacionnuju sistemu ""Gosudarstvennye programmy""";sht;1;12237,32;611,87/1223,73/0;апр.15;ноя.15;Otkrytyj konkurs;-
1,03041124800182E+019;73.20;73.20.15.990;60;"Vypolnenie nauchno-issledovatel'skoj raboty po teme:                                      ""Razrabotka nauchno obosnovannyh predlozhenij po sisteme ocenki jeffektivnosti i rezul'tativnosti nauchno-issledovatel'skih rabot, opytno-konstruktorskih i tehnologicheskih rabot v transportnoj sfere""";Sozdanie nauchno obosnovannogo podhoda po normativnomu i instruktivno-metodicheskomu obespecheniju planirovanija,priemki i ispol'zovanija rezul'tatov NIOKR,ucheta i ocenki jeffektivnosti i rezul'tativnosti nauchno-issledovatel'skih,opytno-konstruktorskih i tehnologicheskih rabot.  Provedenie analiticheskogo issledovanija pravovogo regulirovanija i praktiki osushhestvlenija gosudarstvennyh zakupok nauchno-issledovatel'skih,opytno-konstruktorskih i tehnologicheskih rabot provedenie inventarizacii i sozdanie edinoj bazy dannyh rezul'tatov NIOKR v transportnoj sfere.  Razrabotka predlozhenij po normativnomu i instruktivno-metodicheskomu obespecheniju sistemy priemki,ucheta i ocenki jeffektivnosti i rezul'tativnosti NIOKR,ispol'zovanie rezul'tatov NIOKR       .V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.;sht;1;8274;413,70/ 827,40/ 0;апр.15;06.2015         09.2015      11.2015;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;61;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Provedenie v sootvetstvii s mezhdunarodnymi soglashenijami i trebovanijami kompleksnyh issledovanij ispol'zovanija sistemy GLONASS, drugih global'nyh navigacionnyh sputnikovyh sistem i ih funkcional'nyh dopolnenij v sostave avtomaticheskoj identifikacionnoj sistemy i sistemy upravlenija dvizheniem sudov dlja obespechenija monitoringa morskih i rechnyh sudov, a takzhe dlja vzaimnogo kontrolja sudov i ih bezopasnogo rashozhdenija.Shifr: NIR ""Upravlenie-Kontrol'""";"Razrabotka nauchno obosnovannoj programmy vnedrenija funkcional'nyh dopolnenij na vnutrennih vodnyh putjah Rossijskoj Federacii v zonah otvetstvennosti Federal'nogo bjudzhetnogo uchrezhdenija «Administracija
Lenskogo bassejna vnutrennih vodnyh putej» i Federal'nogo bjudzhetnogo uchrezhdenija «Administracija Bajkalo-Angarskogo bassejna vnutrennih vodnyh putej». Razrabotka nauchno obosnovannyh programm vnedrenija funkcinal'nyh dopolnenij na vnutrennih vodnyh putej Rossijskoj Federacii rajonov Sibiri i Dal'nego Vostoka.                                                                                                                                                                                                 V sootvetstvii so st. 30 Federal'nogo zakona ot 05.04.2013 g. № 44-FZ zakupka osushhestvljaetsja  tol'ko u sub#ektov malogo predprinimatel'stva, social'no orientirovannyh nekommercheskih organizacij.";sht;1;2420;48,4/242/0;апр.15;сен.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;62;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Sovershenstvovanie normativnoj tehnicheskoj bazy, regulirujushhej ispol'zovanie gosudarstvennyh navigacionnyh kart i baz dannyh navigacionnoj informacii v interesah navigacionno-informacionnogo obespechenija transportnogo kompleksa Rossijskoj Federacii. Shifr: NIR ""Issledovanie-Norma-Transport-2015-1""";Razrabotka normativnoj tehnicheskoj bazy, regulirujushhej ispol'zovanie gosudarstvennyh navigacionnyh kart vnutrennih vodnyh putej Rossijskoj Federacii i baz dannyh navigacionnoj informacii,a takzhe programnyh reshenij, obespechivajushhih avtomatizaciju primenenija metodicheskogo rukovodstva po opredeleniju periodichnosti obnovlenija baz dannyh navigacionnoj informacii i gosudarstvennyh jelektronnyh navigacionnyh kart vnutrennih vodnyh putej Rossijskoj Federacii.                                                                                                                                                           V sootvetstvii so st. 30 Federal'nogo zakona ot 05.04.2013 g. № 44-FZ zakupka osushhestvljaetsja tol'ko u sub#ektov malogo predprinimatel'stva, social'no orientirovannyh nekommercheskih organizacij.;sht;1;19988,5/11 182,3;399,8/1998,8/0;апр.15;11.2015    06.2016;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;63;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Razrabotka metodik i provedenie rabot po ocenke jeffektivnosti vnedrenija sistemy GLONASS v transportnom komplekse Rossijskoj Federacii. Shifr: ""Issledovanie-Jeffektivnost'""";Analiz faktorov, vlijajushhih na hod realizacii meroprijatij Programmy v sovremennyh uslovijah usovershenstvovannye metodicheskie instrumenty provedenija ocenki jeffektivnosti vypolnenija meroprijatij Programmy usovershenstvovannaja AIAS, vkljuchajushhaja novye moduli realizujushhie primenenie razrabotannyh metodicheskih instrumentov provedenija analiza jeffektivnosti vypolnenija meroprijatij Programmy  aktualizirovannaja na moment sdachi raboty(jetapa raboty) baza dannyh AIAS rezul'taty ocenki jeffektivnosti vnedrenija sistemy GLONASS v transportnom komplekse Rossijskoj Federacii za period s 2012 po 2015 gody          V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                  ;sht;1;15000;750/1500/0;май.15;08.2015      11.2015;Otkrytyj konkurs;-
1,03041121499992E+019;73.10;73.10.13.000;64;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Razrabotka perspektivnyh napravlenij i razrabotka trebovanij po obespecheniju informacionnoj bezopasnosti navigacionno-informacionnyh sistem transportnogo kompleksa Rossijskoj Federacii"". Shifr: NIR             ""Issledovanie-Bezopasnost'"" ";Rezul'taty analiza trebovanij dejstvujushhego zakonodatel'stva Rossijskoj Federacii, normativnyh pravovyh aktov i metodicheskih dokumentov v oblasti zashhity informacii v chasti organizacii rabot i porjadka obrabotki informacii s ogranichennym dostupom na ob#ektah navigacionno-informacionnyh sistem transportnogo kompleksa Rossijskoj Federacii ( NIS TK RF) rezul'taty issledovanij i analiza zashhishhenonsti informacionno-telekommunikacionnyh setej i sredstv vychislitel'noj tehniki, navigacionnyh modulej. informacionno-upravljajushhih modulej NIS TK RF opisanie ugroz informacionnoj bezopasnosti NIS TK RF trebovanija po obespecheniju informacionnoj bezopasnosti NIS TK RF tehnicheskie predlozhenija po obespecheniju informacionnoj bezopasnosti NIS TK RF.  V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.    ;sht;1;3790;189,5/379/0;май.15;ноя.15;Otkrytyj konkurs;-
1,03040808599992E+019;80.42; 80.42.2;65;Podgotovka i periodicheskoe povyshenie kvalifikacii rabotnikov Gosavtoinspekcii i upravlenij Gosavtodornadzora Rostransnadzora po osushhestvleniju kontrol'no-nadzornyh funkcij po sobljudeniju vladel'cami transportnyh sredstv ustanovlennyh trebovanij po parametram perevozok (rezhim truda i otdyha voditelej, skorostnoj rezhim dvizhenija i t.p.) s primeneniem cifrovyh tahografov;"Razrabotka uchebno-metodicheskogo kompleksa dlja povyshenija kvalifikacii rabotnikov Gosavtoinspekcii i upravlenij gosavtodornadzora Rostransnadzora. 
Organizacija i provedenie rabot po povysheniju kvalifikacii rabotnikov Gosavtoinspekcii i upravlenij gosavtodornadzora Rostransnadzora, osushhestvljajushhih ispolnenie kontrol'no-nadzornyh funkcij po sobljudeniju vladel'cami transportnyh sredstv ustanovlennyh trebovanij po parametram perevozok s primeneniem cifrovyh tahografov, ustanalvivaemyh na transportnyh sredstvah s cel'ju formrovanija i sovershenstvovanija prifessional'noj kompetencii i navykov ispol'zovanija special'nogo oborudovanija i programnogo obespechenija v real'nyh uslovijah osushhestvlenija procedur kontrolja sobljudenija rezhimov rabochego vremeni i vremeni otdyha voditelej transportnyh sredstv
";kompleks rabot;1;7000;70/700;09.2015г.;12.2015г.;Otkrytyj konkurs;-
1,03040824800192E+019;22.13;22.13.11;66;Podpiska i dostavka periodicheskih izdanij na vtoroe polugodie 2015 goda ;Podpiska i dostavka periodicheskih izdanij na vtoroe polugodie 2015 goda ;Kompleks uslug;1;459,77;4,59769 / 137,9307 / 0;06.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
04 28 2480019 242 225;63.1; 72.40.13.190;67;Okazanie uslug po jekspluatacii sistem informacionnogo obespechenija bezopasnosti naselenija na transporte;"Okazanie uslug
Obespechenie fukcionirovanija edinoj gosudarstvennoj informacionnoj sistemy obespechenija transportnoj bezopasnosti (EGIS OTB), tehnicheskoe i servisnoe obsluzhivanie oborudovanija, vhodjashhego v EGIS OTB
obespechenie fukcionirovanija edinoj mezhvedomstvennoj  sistemy soprjazhenija informacionnyh sistem, reshajushhej zadachi v oblasti obespechenija bezopasnosti na transporte, v tom chisle so specializirovannoj territorial'no-raspredelennoj sistemoj «Rozysk-Magistral'» MVD Rossii (SS RM), tehnicheskoe i servisnoe obsluzhivanie oborudovanija, vhodjashhego v SS RM
obespechenie fukcionirovanija sistemy sbora rezul'tatov tehnicheskogo monitoringa i kontrolja ob#ektov transportnoj infrastruktury (SS TMK), tehnicheskoe i servisnoe obsluzhivanie oborudovanija, vhodjashhego v SS TMK
obespechenie fukcionirovanija koordinacionnogo centra Ministerstva transporta Rossijskoj Federacii (KC), tehnicheskoe i servisnoe obsluzhivanie oborudovanija, vhodjashhego v KC";sht;1;653970;0 / 65397,00 / 0;05.2015г;10.2015г;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;68;Okazanie uslug telegrafnoj svjazi;Okazanie uslug telegrafnoj svjazi;Kompleks uslug;1;2450;24,5 / 735 / 0;06.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.20;70.20.12;69;Uslugi po hraneniju imushhestva;Uslugi po hraneniju imushhestva;Kompleks uslug;1;2300;23 / 690 / 0;06.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03070524820402E+019;80.30.3;8040020;70;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;99,89;-;06.2015г.;06.2015г.;Edinstvennyj postavshhik;-
1,03070524820402E+019;80.30.3;8040020;71;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;99,99;-;06.2015г.;06.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;72;Izgotovlenie otkrytok dlja protokol'nyh nuzhd;Izgotovlenie otkrytok dlja protokol'nyh nuzhd;sht.;1;50,05;-;06.2015г.;06.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;73;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu ;Kompleks uslug;1;40;-;06.2015г.;06.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;74;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu;Kompleks uslug;1;40;-;07.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03070524820402E+019;80.30.3;8040020;75;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;61,2;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03070524820402E+019;80.30.3;8040020;76;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;66,3;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03070524820402E+019;80.30.3;8040020;77;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;66,2;-;10.2015г.;10.2015г.;Edinstvennyj postavshhik;-
1,03070524820402E+019;80.30.3;8040020;78;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;60,96;-;10.2015г.;10.2015г.;Edinstvennyj postavshhik;-
1,03070524820402E+019;80.30.3;8040020;79;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;93,3;-;11.2015г.;11.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;80;Postavka komplektujushhih;Postavka jelektronnyh kljuchej i vneshnih zhestkih diskov;sht.;1;97,4;-;06.2015г.;06.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.20;70.20.12;81;Okazanie uslug po ohrane ;Okazanie uslug po ohrane ;Kompleks uslug;1;99,9;-;06.2015г.;06.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.20;70.20.12;82;Okazanie uslug po ohrane ;Okazanie uslug po ohrane ;Kompleks uslug;1;99,9;-;07.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;83;Organizacija sinhronnyh perevodov v hode priemov inostrannyh delegacij;Organizacija sinhronnyh perevodov v hode priemov inostrannyh delegacij;Kompleks uslug;1;300;-;06.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;84;Okazanie uslug telegrafnoj svjazi;Okazanie uslug telegrafnoj svjazi;Kompleks uslug;1;100;-;06.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;85;Okazanie uslug po soprovozhdeniju oficial'nogo sajta;Okazanie uslug po soprovozhdeniju oficial'nogo sajta Mintransa Rossii;Kompleks uslug;1;97,98;-;06.2015г.;06.2015г.;Edinstvennyj postavshhik;-
1,03041121499992E+019;73.20;73.20.15.990;86;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Provedenie issledovanij, razrabotka rabochih i informacionnyh dokumentov po primeneniju sistemy GLONASS dlja predstavlenija na soveshhanijah gruppy jekspertov Mezhdunarodnoj organizacii grazhdanskoj aviacii (IKAO) po navigacionnym sistemam, razrabotka nacional'nyh standartov s cel'ju mezhdunarodnoj i vnutrirossijskoj standartizacii sistemy GLONASS i ee funkcional'nyh dopolnenij"". Shifr: NIR ""Avia-Standart""";Rezul'taty provedenija issledovanij i podgotovka predlozhenij po strukture i soderzhaniju rabochih i informacionnyh dokumentov, otrazhajushhih poziciju Rossijskoj Federacii, s uchetom predlozhenij zainteresovannyh vedomstv, materialov predydushhih soveshhanij IKAO i prinjatyh popravok k SARPs razrabotka predlozhenij po strukture i soderzhani proektov dopolnenij i izmenenij k dokumentam IKAO dlja predstavlenija na soveshhanjah gruppy jekspertov IKAO po NSP v 2015 g. Rezul'taty provedenija analiza materialov soveshhanij Gruppy jekspertov po NSP IKAO, sostojavshihsja v techenie 2015 g.vyrabotka rekomendacij po vnedreniju mezhdunarodnogo opyta, ispol'zovaniju rezul'tatov soveshhanij rabochih grupp jekspertov IKAO po NSP po itogam 2015 g. v praktiku grazhdanskoj aviacii Rossijskoj Federacii rezul'taty podgotovki nauchno obosnovannyh predlozhenij po vkljucheniju v AIP Rossijskoj Federacii razdelov po ispol'zovaniju global'noj navigacionnoj sputnikovoj sistemy, ih soglasovanie i napravlenie na publikaciju.                                                                                                                                                                                                                                                                                                                                                                                                                                               V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.    ;sht;1;4000,35;200,02/400,04/0;сен.15;дек.15;Otkrytyj konkurs;-
1,03041121499992E+019;73.20;73.20.15.990;87;"Vypolnenie nauchno-issledovatel'skoj i opytno-konstruktorskoj raboty po teme ""Razrabotka infrastruktury, obespechivajushhej funkcionirovanie kompleksnoj informacionno-analiticheskoj sistemy kontrolja transportnyh sredstv s ispol'zovaniem navigacionnyh tehnologij GLONASS pri osushhestvlenii kontrolja za bezopasnost'ju perevozok passazhirov v rezhime real'nogo vremeni"". Shifr: NIOKR ""KIASK-TS-RV""";Jeskiznyj proekt na sozdanie sistemy KIASK-TS-RV chastnoe tehnicheskoe zadanie na razrabotku tehnicheskogo proekta sistemy KIASK-TS-RV tehnicheskij proekt na sozdanie sistemy KIASK-TS-RV rabochaja konstruktorskaja dokumentacija sistemy KIASK-TS-RV pilotnaja zona sistemy KIASK-TS-RV programma i metodika ispytanij pilotnoj zony sistemy KIASK-TS-RV protokoly ispytanij pilotnoj zony sistemy KIASK-TS-RV programmy obuchenija pol'zovatelej KIASK-TS-RV metodika ocenki proizvoditel'nosti KIASK-TS-RV pri osushhestvlenii kontrolja za bezopasnost'ju perevozok passazhirov v rezhime real'nogo vremeni dorozhnaja karta sozdanija i vvoda v promyshlennuju jekspluataciju sistemy KIASK-TS-RV na planovyj period 2016-2020 gody tehnicheskoe zadanie na realizaciju meroprijatija po sozdaniju infrastruktury, obespechivajushhej funkcionirovanie KIASK-TS-RV  V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                  ;sht;1;25000;1250/2500/0;июл.15;08.2015    11.2015;Otkrytyj konkurs;-
04 28 2480019 242 225;63.1; 72.40.13.190;88;Okazanie uslug po jekspluatacii sistem informacionnogo obespechenija bezopasnosti naselenija na transporte;"Okazanie uslug
Obespechenie fukcionirovanija edinoj gosudarstvennoj informacionnoj sistemy obespechenija transportnoj bezopasnosti (EGIS OTB), tehnicheskoe i servisnoe obsluzhivanie oborudovanija, vhodjashhego v EGIS OTB
obespechenie fukcionirovanija edinoj mezhvedomstvennoj  sistemy soprjazhenija informacionnyh sistem, reshajushhej zadachi v oblasti obespechenija bezopasnosti na transporte, v tom chisle so specializirovannoj territorial'no-raspredelennoj sistemoj «Rozysk-Magistral'» MVD Rossii (SS RM), tehnicheskoe i servisnoe obsluzhivanie oborudovanija, vhodjashhego v SS RM
obespechenie fukcionirovanija sistemy sbora rezul'tatov tehnicheskogo monitoringa i kontrolja ob#ektov transportnoj infrastruktury (SS TMK), tehnicheskoe i servisnoe obsluzhivanie oborudovanija, vhodjashhego v SS TMK
obespechenie fukcionirovanija koordinacionnogo centra Ministerstva transporta Rossijskoj Federacii (KC), tehnicheskoe i servisnoe obsluzhivanie oborudovanija, vhodjashhego v KC";sht;1;653970;0 / 65397,00;06.2015г.;12.2015.;Edinstvennyj postavshhik;-
1,03041124800192E+019;73.20;73.20.15.990;89;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Razrabotka metodov optimizacii proizvoditel'nosti, obespechenija garantirovannoj rabotosposobnosti i sokrashhenija rashodov na tehnicheskuju podderzhku Edinoj gosudarstvennoj informacionnoj sistemy obespechenija transportnoj bezopasnosti na osnove razrabatyvaemyh tehnologij vyborochnogo importozameshhenija zarubezhnyh tehnologij dlja kljuchevyh komponentov""";Opredelenie variantov vozmozhnogo zameshhenija zarubezhnyh tehnologij v kljuchevyh komponentah EGIS OTB na otechestvennye analogi libo na tehnologii s otkrytym kodom v celjah snizhenija kolichestva ispol'zuemyh licenzij zarubezhnogo programmnogo obespechenija v programmno-tehnicheskih kompleksah osnovnogo i rezervnogo centrov obrabotki dannyh EGIS OTB s tekushhego urovnja bolee  40 000 edinic do vozmozhno minimal'nogo urovnja ispol'zovanija licenzij takih proizvoditelej, kak ORACLE, IBM, EMC, VMWARE, MICROSOFT i rjada drugih inostrannyh razrabotchikov.                                                                                                                          V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                  ;sht;1;14916,74;745,84/4 475,02/0;июл.15;дек.15;Otkrytyj konkurs;-
1,03041124800192E+019;73.20;73.20.15.990;90;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Razrabotka nauchno obosnovannyh predlozhenij po formirovaniju sistemy podgotovki personala dlja raboty na transportnyh predprijatijah po obsluzhivaniju perevozok i okazaniju situacionnoj pomoshhi invalidam i drugim malomobil'nym gruppam naselenija, a takzhe dlja realizacii drugih meroprijatij po formirovaniju na transporte dostupnoj sredy s uchetom primenenija mezhdunarodnogo opyta i v svjazi s ratifikaciej Konvencii OON po pravam invalidov""";Razrabotka nauchno obosnovannyh predlozhenij po formirovaniju sistemy podgotovki personala dlja raboty na transportnyh predprijatijah po obsluzhivaniju passazhirskih perevozok i okazaniju situacionnoj pomoshhi invalidam i drugim malomobil'nym gruppam naselenija, a takzhe dlja realizacii drugih meroprijatij po formirovaniju na transporte dostupnoj sredy s uchetom primenenija mezhdunarodnogo opyta i v svjazi s ratifikaciej Konvencii OON po pravam invalidov.  V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                  ;sht;1;7329;366,45/732,9/0;июл.15;ноя.15;Otkrytyj konkurs;-
1,03041124800192E+019;73.20;73.20.15.990;91;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Aktual'nye zadachi po sovershenstvovaniju zakonodatel'stva o transportnoj bezopasnosti i zashhity naselenija na transporte, v tom chisle v oblasti: provedenija ocenki ujazvimosti ob#ektov transportnoj infrastruktury i transportnyh sredstv po vidam transporta"; ustanovlenija kolichestva kategorij i kriteriev kategorirovanija ob#ektov transportnoj infrastruktury i transportnyh sredstv dlja kazhdogo iz vidov transporta;" razrabotki planov obespechenija transportnoj bezopasnosti ob#ektov transportnoj infrastruktury i transportnyh sredstv po vidam transporta""";1;2284,43;114,22/228,44/0;июл.15;сен.15;Otkrytyj konkurs;-
1,03041124800192E+019;73.20;73.20.15.990;92;"Vypolnenie nauchno-issledovatel'skoj raboty po teme ""Razrabotka Strategii razvitija avtomobil'nogo i gorodskogo jelektricheskogo transporta Rossijskoj Federacii na period do 2030 goda""";Analiz osnovnyh problem v dejatel'nosti avtomobil'nogo i gorodskogo nazemnogo jelektricheskogo transporta,obuslavlivajushhih neobhodimost' razrabotki Strategii razvitija avtomobil'nogo i gorodskogo jelektricheskogo transporta Rossijskoj Federacii razrabotka struktury i soderzhanija Strategii razvitija avtomobil'nogo i gorodskogo jelektricheskogo transporta Rossijskoj Federacii na period do 2030 goda. V sootvetstvii so st.30 Federal'nogo zakona ot 05.04.2013 №44-FZ zakupka osushhestvljaetsja  c ustanovleniem trebovanija k ispolnitelju o privlechenii k ispolneniju gosudarstvennogo kontrakta soispolnitelej iz chisla sub#ektov malogo predprinimatel'stva,social'no orientirovannyh nekommercheskih organizacij.                  ;sht;1;7586,24;379,31/758,62/0;июл.15;ноя.15;Otkrytyj konkurs;-
1,03040824800192E+019;64.20;6420000;93;Okazanie uslug telefonnoj svjazi;Okazanie uslug telefonnoj svjazi;Kompleks uslug;1;2350;23,5 / 705 / 0;07.2015г.;09.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;72.60;7260000;94;Okazanie uslug po soprovozhdeniju oficial'nogo sajta;Okazanie uslug po soprovozhdeniju oficial'nogo sajta Mintransa Rossii;Kompleks uslug;1;600;-;07.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;95;Postavka bytovoj tehniki;Postavka bytovoj tehniki;sht.;1;100;-;06.2015г.;07.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;96;Organizacija sinhronnyh perevodov v hode priemov inostrannyh delegacij;Organizacija sinhronnyh perevodov v hode priemov inostrannyh delegacij;sht.;1;100;-;06.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;97;Postavka orgtehniki;Vysokotehnologichnye ustrojstva pechati i skanirovanija;sht.;1;500;5 / 150 / 0;06.2015г.;07.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
